,Term,ID,Definition,Synonyms,HPO_ID
2308,Rhabdomyolysis,0003201,Breakdown of muscle fibers that leads to the release of muscle fiber contents (myoglobin) into the bloodstream.,Breakdown of skeletal muscle,HP:0003201
2309,Skeletal muscle atrophy,0003202,The presence of skeletal muscular atrophy (which is also known as amyotrophy).,"Amyotrophy, Amyotrophy involving the extremities, Muscle atrophy, Muscle atrophy, neurogenic, Muscle degeneration, Muscle hypotrophy, Muscle wasting, Muscular atrophy, Neurogenic muscle atrophy, Neurogenic muscle atrophy, especially in the lower limbs, Neurogenic muscular atrophy",HP:0003202
2310,Impaired oxidative burst,0003203,"In the NBT test, neutrophils change the colorless compound NBT into a compound with a deep blue color. If this test is negative (i.e., no blue color is produced), then this indicates a defect in superoxide-generating NADPH oxidase activity with inability to efficiently kill phagocytized bacteria.","Negative NBT reduction test, Negative nitroblue tetrazolium reduction test",HP:0003203
2311,Intracellular accumulation of autofluorescent lipopigment storage material,0003204,The intracellular accumulation of autofluorescent storage material.,,HP:0003204
2312,Curvilinear intracellular accumulation of autofluorescent lipopigment storage material,0003205,An intracellular accumulation of autofluorescent lipopigment storage material in a curved pattern.,"Curvilinear profiles ultrastructurally, Curvilinear profiles ultrastructurally in cells, Intracellular curvilinear profiles on ultrastructural analysis",HP:0003205
2313,Decreased activity of NADPH oxidase,0003206,,,HP:0003206
2314,Arterial calcification,0003207,Pathological deposition of calcium salts in one or more arteries.,,HP:0003207
2315,Fingerprint intracellular accumulation of autofluorescent lipopigment storage material,0003208,An intracellular accumulation of autofluorescent lipopigment storage material in a trabecular or fingerprint-like pattern.,"Fingerprint profiles ultrastructurally, Fingerprint profiles ultrastructurally in cells",HP:0003208
2316,Decreased pyruvate carboxylase activity,0003209,A decreased rate of pyruvate carboxylase activity.,,HP:0003209
2317,Decreased methylmalonyl-CoA mutase activity,0003210,An abnormality of Krebs cycle metabolism that is characterized by a decreased rate of methylmalonyl-CoA mutase activity.,Decreased methylmalonyl CoA mutase activity,HP:0003210
2318,Increased circulating IgE level,0003212,An abnormally increased overall level of immunoglobulin E in blood.,"Elevated immunoglobulin E, Elevated serum IgE, High immunoglobulin E",HP:0003212
2319,Deficient excision of UV-induced pyrimidine dimers in DNA,0003213,,,HP:0003213
2320,Prolonged G2 phase of cell cycle,0003214,,,HP:0003214
2321,Dicarboxylic aciduria,0003215,An increased concentration of dicarboxylic acid in the urine.,Elevated urinary dicarboxylic acid level,HP:0003215
2322,Generalized amyloid deposition,0003216,A diffuse form of amyloidosis.,Generalised amyloid deposition,HP:0003216
2323,Hyperglutaminemia,0003217,An increased concentration of glutamine in the blood.,High plasma glutamine,HP:0003217
2324,Oroticaciduria,0003218,An increased concentration of orotic acid in the urine.,"High urine orotic acid levels, Increased urinary orotic acid concentration",HP:0003218
2325,Ethylmalonic aciduria,0003219,An increased concentration of ethylmalonic acid in the urine.,,HP:0003219
2326,Abnormality of chromosome stability,0003220,A type of chromosomal aberration characterised by reduced resistance of chromosomes to change or deterioration.,,HP:0003220
2327,Chromosomal breakage induced by crosslinking agents,0003221,Increased amount of chromosomal breaks in cultured blood lymphocytes or other cells induced by treatment with DNA cross-linking agents such as diepoxybutane and mitomycin C.,"Chromosomal breakage induced by diepoxybutane, Chromosomal breakage induced by mitomycin C",HP:0003221
2328,Decreased methylcobalamin,0003223,Decreased concentration of methylcobalamin. Methylcobalamin is a form of vitamin B12.,Methylcobalamin deficiency,HP:0003223
2329,Increased cellular sensitivity to UV light,0003224,,,HP:0003224
2330,Reduced coagulation factor V activity,0003225,Decreased activity of coagulation factor V.,Reduced factor V activity,HP:0003225
2331,Rectilinear intracellular accumulation of autofluorescent lipopigment storage material,0003226,An intracellular accumulation of autofluorescent lipopigment storage material in a straight or rectilinear pattern.,Rectilinear profiles ultrastructurally,HP:0003226
2332,Hypernatremia,0003228,An abnormally increased sodium concentration in the blood.,High blood sodium levels,HP:0003228
2333,Hypertyrosinemia,0003231,An increased concentration of tyrosine in the blood.,"Increased tyrosine in blood, Tyrosinemia",HP:0003231
2334,Mitochondrial malic enzyme reduced,0003232,,Decreased mitochondrial malic enzyme,HP:0003232
2335,Decreased HDL cholesterol concentration,0003233,An decreased concentration of high-density lipoprotein cholesterol in the blood.,"Decreased circulating high-density lipoprotein cholesterol, Decreased circulating high-density lipoprotein levels, Decreased HDL cholesterol, Hypoalphalipoproteinemia, Low HDL-cholesterol",HP:0003233
2336,Decreased plasma carnitine,0003234,A decreased concentration of carnitine in the blood.,Decreased plasma carnitine,HP:0003234
2337,Hypermethioninemia,0003235,An increased concentration of methionine in the blood.,"Increased methionine in blood, Methioninemia",HP:0003235
2338,Elevated circulating creatine kinase concentration,0003236,"An elevation of the level of the enzyme creatine kinase (also known as creatine phosphokinase (CK; EC 2.7.3.2) in the blood. CK levels can be elevated in a number of clinical disorders such as myocardial infarction, rhabdomyolysis, and muscular dystrophy.","Elevated blood creatine phosphokinase, Elevated circulating creatine phosphokinase, Elevated creatine kinase, Elevated serum CPK, Elevated serum creatine kinase, Elevated serum creatine phosphokinase, High serum creatine kinase, Increased CPK, Increased creatine kinase, Increased creatine phosphokinase, Increased serum CK, Increased serum creatine kinase, Increased serum creatine phosphokinase",HP:0003236
2339,Increased circulating IgG level,0003237,An abnormally increased level of immunoglobulin G in blood.,"Increased IgG level, Increased levels of IgG, Increased total IgG in blood",HP:0003237
2340,Hyperpepsinogenemia I,0003238,,,HP:0003238
2341,Phosphoethanolaminuria,0003239,An increased level of phosphoethanolamine (synonym: O-phosphoethanolamine) in the urine.,"High urine phosphoethanolamine levels, Increased level of O-phosphoethanolamine in urine, Increased urine O-phosphoethanolamine level",HP:0003239
2342,Increased phosphoribosylpyrophosphate synthetase level,0003240,"Abnormally elevated level of the enzyme phosphoribosyl pyrophosphatesynthetase, which catalyzes the synthesis of PP-ribose-P from ATP and ribose-5-phosphate.","Increased phosphoribosyl pyrophosphate synthetase activity, Increased PRPS1 activity",HP:0003240
2343,External genital hypoplasia,0003241,Underdevelopment of part or all of the external reproductive organs.,"Hypogenitalism, Small genitalia, Underdevelopment of external reproductive organs",HP:0003241
2344,Penile hypospadias,0003244,Location of the urethral opening on the inferior aspect of the penis.,,HP:0003244
2345,Prominent scrotal raphe,0003246,Increased size of the ridge of tissue that extends along the midline of the scrotum.,Prominent perineal raphe,HP:0003246
2346,Overgrowth of external genitalia,0003247,,Overgrowth of external genitalia,HP:0003247
2347,Gonadal tissue inappropriate for external genitalia or chromosomal sex,0003248,,,HP:0003248
2348,Genital ulcers,0003249,,Genital ulcers,HP:0003249
2349,Aplasia of the vagina,0003250,Aplasia of the vagina.,"Absent vagina, Congenital absence of the vagina",HP:0003250
2350,Male infertility,0003251,,Male infertility,HP:0003251
2351,Anteriorly displaced genitalia,0003252,,,HP:0003252
2352,Abnormality of DNA repair,0003254,"An abnormality of the process of DNA repair, that is, of the process of restoring DNA after damage.",,HP:0003254
2353,Abnormality of the coagulation cascade,0003256,"An abnormality of the coagulation cascade, which is comprised of the contact activation pathway (also known as the intrinsic pathway) and the tissue factor pathway (also known as the extrinsic pathway) as well as cofactors and regulators.",Coagulopathy,HP:0003256
2354,Glyoxalase deficiency,0003258,,,HP:0003258
2355,Elevated circulating creatinine concentration,0003259,An increased amount of creatinine in the blood.,"Elevated creatinine, Elevated serum creatinine, High blood creatinine level, Increased creatinine, Increased serum creatinine",HP:0003259
2356,Hydroxyprolinemia,0003260,An increased concentration of hydroxyproline in the blood.,High blood hydroxyproline levels,HP:0003260
2357,Increased circulating IgA level,0003261,An abnormally increased level of immunoglobulin A in blood.,"Elevated IgA, Elevated serum IgA, IgA hypergammaglobulinemia, Increased levels of IgA, Increased serum IgA",HP:0003261
2358,Smooth muscle antibody positivity,0003262,The presence in serum of antibodies against smooth muscle.,"Anti-smooth muscle antibody positivity, Smooth muscle antibody positive",HP:0003262
2359,Deficiency of N-acetylglucosamine-1-phosphotransferase,0003264,,,HP:0003264
2360,Neonatal hyperbilirubinemia,0003265,A type of hyperbilirubinemia with neonatal onset.,"High blood bilirubin levels in neonate, Hyperbilirubinemia, neonatal",HP:0003265
2361,Reduced orotidine 5-prime phosphate decarboxylase level,0003267,An abnormal decrease in orotidine 5'-phosphate decarboxylase level.,,HP:0003267
2362,Argininuria,0003268,A increased concentration of arginine in the urine.,High urine arginine levels,HP:0003268
2363,Sudanophilic leukodystrophy,0003269,,,HP:0003269
2364,Abdominal distention,0003270,Distention of the abdomen.,"Abdominal bloating, Abdominal distension, Abdominal swelling, Belly bloating, Bloating, Distended abdomen",HP:0003270
2365,Visceromegaly,0003271,Abnormal increased size of the viscera of the abdomen.,,HP:0003271
2366,Abnormal hip bone morphology,0003272,An abnormality of the hip bone.,"Abnormality of the hip bone, Abnormality of the hips",HP:0003272
2367,Hip contracture,0003273,,"Flexion contracture of hips, Flexion contractures of hips, Hip contractures, Hip flexion contractures",HP:0003273
2368,Hypoplastic acetabulae,0003274,Underdeveloped acetabulae.,"Acetabular hypoplasia, Hypoplastic acetabula",HP:0003274
2369,Narrow pelvis bone,0003275,Reduced side to side width of the pelvis.,Narrow pelvis bone,HP:0003275
2370,Pelvic bone exostoses,0003276,"A benign growth the projects outward from the bone surface of the pelvis. Exostoses are capped by cartilage, and arise from a bone that develops from cartilage.",,HP:0003276
2371,Constricted iliac wing,0003277,,Constricted iliac wings,HP:0003277
2372,Square pelvis bone,0003278,"An abnormally squared appearance of the bony pelvis, a normally rounded or basin-shaped structure.",Square pelvis bone,HP:0003278
2373,Coxa magna,0003279,Widening of the femoral head and neck.,,HP:0003279
2374,Increased circulating ferritin concentration,0003281,Increased concentration of ferritin in the blood circulation.,"Elevated serum ferritin, High ferritin level, Hyperferritinaemia, Hyperferritinemia, Increased ferritin, Increased plasma ferritin, Increased serum ferritin level",HP:0003281
2375,Low alkaline phosphatase,0003282,Abnormally reduced serum levels of alkaline phosphatase.,"Decreased serum alkaline phosphatase, Low ALP",HP:0003282
2376,Cystathioninemia,0003286,An increased concentration of cystathionine in the blood.,High blood cystathionine levels,HP:0003286
