Term,ID,Definition,Synonyms
Congenital goiter,8251,An enlargement of the thyroid gland with congenital onset.,Congenital goitre
Transient neonatal diabetes mellitus,8255,,
Adrenocortical adenoma,8256,Adrenocortical adenomas are benign tumors of the adrenal cortex.,Adrenocortical adenomas
Congenital adrenal hyperplasia,8258,A type of adrenal hyperplasia with congenital onset.,
Adrenocorticotropin receptor defect,8259,Adrenal insufficiency secondary to a defect in the ACTH receptor.,"ACTH receptor defect, ACTHR defect, Adrenocorticotropic hormone-resistant adrenal insufficiency"
Pancreatic islet cell adenoma,8261,The presence of an adenoma of the pancreas with origin in a pancreatic B cell.,
Thyroid defect in oxidation and organification of iodide,8263,,
Neutrophil inclusion bodies,8264,"The presence of intracellular inclusion bodies (aggregates of stainable substances, usually proteins) in neutrophils. Cytoplasmic neutrophil inclusions (oval, basophilic) are also known as Doehle bodies.",
Mitochondrial lysine transport defect,8265,,
Increased red cell hemolysis by shear stress,8269,,
Abnormal cartilage collagen,8271,"Abnormal morphology of collagen fibers in cartilage. In cartilage, collagen II, actually a collagen II:IX:XI heterofibril, is by far the most important type of collagen. A number of abnormalities may be appreciated by electron micrography or biochemical investigations, including sparse collagen fibers in the cartilage matrix.",
Renal tubular lysine transport defect,8272,,
Transient aminoaciduria,8273,,
Abnormal light-adapted electroretinogram,8275,,Abnormal cone-mediated electroretinogram
Abnormal blood zinc concentration,8277,An abnormality of zinc ion homeostasis.,Abnormality of zinc homeostasis
Cerebellar cortical atrophy,8278,Atrophy (wasting) of the cerebellar cortex.,Cerebellar cortex degeneration
Transient hyperlipidemia,8279,,
Acute hyperammonemia,8281,An increased concentration of ammonia in the blood with sudden onset.,"Hyperammonemia, acute"
Unconjugated hyperbilirubinemia,8282,An increased amount of unconjugated (indirect) bilurubin in the blood.,
Fasting hyperinsulinemia,8283,"An increased concentration of insulin in the blood in the fasting state, i.e., not as the response to food intake.",High blood insulin levels while fasting
Transient hypophosphatemia,8285,,
Nonketotic hyperglycinemia,8288,,
Partial complement factor H deficiency,8290,A partial reduction in level of the complement component Factor H in circulation.,
Pituitary corticotropic cell adenoma,8291,A type of pituitary adenoma that produces adrenocorticotropic hormone (ACTH).,"ACTH-producing pituitary adenoma, Corticotropin-secreting pituitary adenoma"
Long-chain dicarboxylic aciduria,8293,An increase in the level of long-chain dicarboxylic acid in the urine.,
Transient hyperphenylalaninemia,8297,"A condition of not having consistently high levels of phenylalanine in the blood but of experiencing temporary hyperphenylalaninemia following ingestion of large quantities of phenylalanine (for instance, following an oral loading test with phenylalanine).",
Dermatan sulfate excretion in urine,8301,An increased concentration of dermatan sulfate in the urine.,Dermatan sulphate excretion in urine
Olivary degeneration,8303,"Degeneration of the olivary bodies, prominent oval structures in the medulla oblongata.",
Exercise-induced myoglobinuria,8305,Presence of myoglobin in the urine following exercise.,
Abnormal iron deposition in mitochondria,8306,,
Medium chain dicarboxylic aciduria,8309,An increase in the level of medium chain dicarboxylic acid in the urine.,
Spinal cord posterior columns myelin loss,8311,,
Decreased activity of mitochondrial complex II,8314,"A reduction in the activity of the mitochondrial respiratory chain complex II, which is part of the electron transport chain in mitochondria.",
Decreased plasma free carnitine,8315,A decreased concentration of free (unbound) carnitine in the blood.,
Abnormal mitochondria in muscle tissue,8316,An abnormality of the mitochondria in muscle tissue.,Abnormal mitochondria in muscle
Elevated leukocyte alkaline phosphatase,8318,Increased alkaline phosphatase measured within leukocytes.,Elevated leukocyte ALP
Impaired collagen-induced platelet aggregation,8320,Abnormal response to collagen or collagen-mimetics as manifested by reduced or lacking aggregation of platelets upon addition collagen or collagen-mimetics.,
Reduced factor X activity,8321,"Reduced activity of coagulation factor X. The extrinsic and intrinsic pathways converge at factor X (fX). The extrinsic pathway activates fX by means of d factor VII with its cofactor, tissue factor. The intrinsic pathway activates fX by means of the tenase complex (Ca2+ and factors VIIIa, IXa and X) on the surface of activated platelets. Factor Xa in turn activates prothrombin (factor II) to thrombin (factor IIa).",Decreased factor x activity
Abnormal mitochondrial morphology,8322,Any structural anomaly of the mitochondria.,Abnormal mitochondrion morphology
Abnormal light- and dark-adapted electroretinogram,8323,An abnormality of the combined rod-and-cone response on electroretinogram.,Abnormal rod and cone electroretinogram
Reduced circulating vitamin B6 level,8326,An abnormally decreased concentration of vitamin B6 in the blood circulation.,"Reduced vitamin b6 levels, Vitamin B6 deficiency"
Microscopic nephrocalcinosis,8327,The presence of microscopic crystalline calcium precipitates in the form of oxalate and/or phosphate in the renal parenchyma.,
Reduced von Willebrand factor activity,8330,Decreased activity of von Willebrand factor. Von Willebrand factor mediates the adhesion of platelets to the collagen exposed on endothelial cell surfaces.,Decreased von willebrand factor activity
Elevated creatine kinase after exercise,8331,,"Elevated CK after exercise, Elevated CPK after exercise, Elevated creatine phosphokinase after exercise, Elevated phospho-CK after exercise, Elevated phospho-creatine kinase after exercise, Increased CK after exercise, Increased creatine kinase after exercise, Increased creatine phosphokinase after exercise, Increased phospho-CK after exercise, Increased phospho-creatine kinase after exercise"
Complex organic aciduria,8336,,
Partial functional complement factor D deficiency,8338,A partial reduction in level of the complement component Factor D in circulation.,"Partial functional adipsin deficiency, Partial functional factor d deficiency"
Diaminoaciduria,8339,"An increased urine level of any amino acid carrying two amino groups (Asparagine, glutamine and lysine, cystine, ornithine).",
Distal renal tubular acidosis,8341,"A type of renal tubular acidosis characterized by a failure of acid secretion by the alpha intercalated cells of the cortical collecting duct of the distal nephron. The urine cannot be acidified below a pH of 5.3, associated with acidemia and hypokalemia.","Renal tubular acidosis, type I"
Elevated plasma branched chain amino acids,8344,An increased concentration of a branched chain amino acid in the blood.,
Hypoplasia of the iris dilator muscle,8345,Underdevelopment of the dilatator pupillae.,"Hypoplasia of the pupil dilator muscle, Underdeveloped iris dilator muscle, Underdeveloped pupil dilator muscle"
Increased red cell sickling tendency,8346,,"Increased sickling of erythrocytes, Increased sickling of red cells"
Decreased activity of mitochondrial complex IV,8347,"A reduction in the activity of the mitochondrial respiratory chain complex IV, which is part of the electron transport chain in mitochondria.",
Decreased circulating IgG2 level,8348,A reduction in immunoglobulin levels of the IgG2 subclass in the blood circulation.,"Decreased IgG2 level in blood, Immunoglobulin IgG2 deficiency, Reduced IgG2 levels"
Impaired platelet adhesion,8352,"An abnormality of adhesion of thrombocytes. Normally, platelets adhere to collagen in the vascular subendothelium within seconds of injury via a receptor made up of glycoprotein Ia and IIa and GPVI and to vWF via receptor GPIb/IX/V. The adherent platelets then release granules that lead to platelet activation and aggregation.",Impaired thrombocytes adhesion
Neutral hyperaminoaciduria,8353,"The presence of an abnormally increased concentration of neutral amino acids in the urine. The neutral amino acids are tryptophan, alanine, asparagine, glutamine, histidine, isoleucine, leucine, phenylalanine, serine, threonine, tyrosine and valine.",
Factor X activation deficiency,8354,Reduced ability to transform factor X into its activated form factor Xa.,
Reduced factor XIII activity,8357,Decreased activity of coagulation factor XIII (also known as fibrin stabilizing factor). Activated Factor XIII cross-links fibrin polymers solidifying the clot.,
Hyperprolinemia,8358,An increased concentration of proline in the blood.,Prolinemia
Neonatal hypoproteinemia,8360,A neonatal decreased concentration of proteins in the blood.,
Corticospinal tract pallor,8361,,
Aplasia/Hypoplasia of the hallux,8362,Absence or underdevelopment of the big toe.,"Absent/small big toe, Absent/underdeveloped big toe, Aplastic/hypoplastic halluces"
Aplasia/Hypoplasia of the tarsal bones,8363,Absence or underdevelopment of the tarsal bones.,"Absent/small ankle bone, Absent/underdeveloped ankle bone, Aplastic/hypoplastic tarsals"
Abnormality of the calcaneus,8364,"An abnormality of the calcaneus, also known as the heel bone, one of the or heel bone, one of the components of the tarsus of the foot which make up the heel.",Abnormal heel bone
Abnormal talus morphology,8365,An abnormality of the talus.,Abnormal large bone of ankle
Foot joint contracture,8366,Contractures of one or more joints of the feet meaning chronic loss of joint motion due to structural changes in non-bony tissue.,"Contractures involving the joints of the feet, Contractures of the foot joints, Joint contractures involving the joints of the feet"
Tarsal synostosis,8368,"Synostosis (bony fusion) involving one or more bones of the tarsus (calcaneus, talus, cuboid, navicular, cuneiiform bones).","Fused ankle bones, Synostosis involving tarsal bones, Synostosis of tarsal bones, Tarsal bone fusion, Tarsal bone synostosis, Tarsal fusion, Tarsal fusions"
Abnormal tarsal ossification,8369,"An abnormality of the formation and mineralization of any of the tarsal bones, seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.","Abnormal ossification of tarsal bones, Hardening of ankle bones"
Abnormal metatarsal ossification,8371,"Any abnormal process of ossification of the metatarsal bones, which normally are each ossified from two centers: one for the body, and one for the head (metatarsal II,III,IV, and V) and one for the body and one for the base (metatarsal I). The ossification process begins in the center of the body about the ninth week, and extends toward either extremity. The center for the base of the first metatarsal appears about the third year, and the centers for the heads of the other bones between the fifth and eighth years. They join the bodies between the eighteenth and twentieth years.",Abnormal ossification involving metatarsal bones
