,Definition,ClassificationLevel
2112,"a rare, genetic hemoglobinopathy that affects red blood cells both in the production of abnormal hemoglobin, as well as the decreased synthesis of beta globin chains. clinical manifestations depend on the amount of residual beta globin chains production, and are similar to sickle cell disease, including anemia, vascular occlusion and its complications, acute episodes of pain, acute chest syndrome, pulmonary hypertension, sepsis, ischemic brain injury, splenic sequestration crisis and splenomegaly.",Disorder
2116,"juberg-hayward syndrome is a polymalformative syndrome that associates multiple skeletal anomalies with microcephaly, facial dysmorphism, urogenital anomalies and intellectual deficit.",Disorder
2120,"46,xy partial gonadal dysgenesis (46,xy pgd) is a disorder of sex development (dsd) associated with anomalies in gonadal development that results in genital ambiguity of variable degree ranging from almost female phenotype to almost male phenotype in a patient carrying a male 46,xy karyotype.",Disorder
2123,"pachyonychia congenita (pc) is a rare genodermatosis predominantly featuring painful palmoplantar keratoderma, thickened nails, cysts and whitish oral mucosa.",Disorder
2134,"familial osteochondritis dissecans is a rare genetic skeletal disorder characterized clinically by abnormal chondro-skeletal development, disproportionate short stature and skeletal deformation mainly affecting the knees, hips, ankles and elbows with onset generally in late childhood or adolescence.",Disorder
2146,"idiopathic recurrent pericarditis is a rare autoinflammatory syndrome defined as recurrence of pericardial inflammation of unknown origin following the first episode of acute pericarditis and a symptom-free interval of 4-6 weeks or longer. recurrent attacks of chest pain may be the sole presentation or the chest pain may be accompanied by pericardial friction rub, electrocardiographic or echocardiographic changes, pericardial effusion and increased c-reactive protein. cardiac tamponade is a rare, life-threatening complication.",Disorder
2147,"idiopathic recurrent pericarditis is a rare autoinflammatory syndrome defined as recurrence of pericardial inflammation of unknown origin following the first episode of acute pericarditis and a symptom-free interval of 4-6 weeks or longer. recurrent attacks of chest pain may be the sole presentation or the chest pain may be accompanied by pericardial friction rub, electrocardiographic or echocardiographic changes, pericardial effusion and increased c-reactive protein. cardiac tamponade is a rare, life-threatening complication.",Subtype of disorder
2160,maternally-inherited mitochondrial dystonia is a rare neurological mitochondrial dna-related disorder characterized clinically by progressive pediatric-onset dystonia with variable degrees of severity.,Disorder
2178,"isolated atp synthase deficiency is a rare, genetic, mitochondrial oxidative phosphorylation disorder that may present with a wide range of symptoms (including muscular hypotonia, hypertrophic cardiomyopathy, psychomotor delay, encephalopathy, peripheral neuropathy, lactic acidosis, 3-methylglutaconic aciduria) and clinical syndromes (including narp and mils).",Disorder
2182,a very rare non-syndromic autosomal recessive pyridoxine-refractory sideroblastic anemia due to a splice defect of glutaredoxin-5 (<i>glrx5</i>) described in a single patient with adult onset microcytic hypochromic anemia with liver iron overload and type 2 diabetes.,Disorder
2185,median nodule of the upper lip is a minor trait of the lip transmitted in an autosomal dominant fashion.,Disorder
2191,renal tubulopathy - encephalopathy - liver failure describes a spectrum of phenotypes with manifestations similar but milder than those seen in gracile syndrome (see this term) and that can be associated with encephalopathy and psychiatric disorders.,Disorder
2206,"maternally inherited leigh syndrome is a rare subtype of leigh syndrome (see this term) characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial dna.",Disorder
2207,"maternally inherited leigh syndrome is a rare subtype of leigh syndrome (see this term) characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial dna.",Disorder
2208,"maternally inherited leigh syndrome is a rare subtype of leigh syndrome (see this term) characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial dna.",Disorder
2209,"maternally inherited leigh syndrome is a rare subtype of leigh syndrome (see this term) characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial dna.",Disorder
2210,"maternally inherited leigh syndrome is a rare subtype of leigh syndrome (see this term) characterized clinically by encephalopathy, lactic acidosis, seizures, cardiomyopathy, respiratory disorders and developmental delay, with onset in infancy or early childhood, and resulting from maternally-inherited mutations in mitochondrial dna.",Disorder
2237,"malignant peripheral nerve sheath tumor with perineurial differentiation is a rare soft tissue sarcoma composed predominantly of spindle-shaped neoplastic cells showing perineurial differentiation and displaying abundant cellular pleomorphism or anaplasia, frequent mitoses, tumor necrosis and high metastatic potential. it often presents as a soft, painless, solid mass in subcutaneous tissues of the trunk or limbs, but tumors have also been described in the facial area, mediastinum, retroperitoneum, pancreas, paravertebral column and the pelvic soft tissues. frequent local recurrence and distant metastatic spread has been reported.",Subtype of disorder
